Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,Formatted for charts
2017,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11642,,"11,642.00"
2017,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",49547,,"49,547.00"
2017,Employment Status By Education,Employed,Some College,"Anne Arundel County, Maryland",67620,,"67,620.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",111317,,"111,317.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1497,,"1,497.00"
2017,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3437,,"3,437.00"
2017,Employment Status By Education,Unemployed,Some College,"Anne Arundel County, Maryland",2835,,"2,835.00"
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2604,,"2,604.00"
2017,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7786,,"7,786.00"
2017,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16912,,"16,912.00"
2017,Employment Status By Education,NIL,Some College,"Anne Arundel County, Maryland",15786,,"15,786.00"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13017,,"13,017.00"
2016,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11246,,"11,246.00"
2016,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",50548,,"50,548.00"
2016,Employment Status By Education,Employed,Some College,"Anne Arundel County, Maryland",67314,,"67,314.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",108401,,"108,401.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1711,,"1,711.00"
2016,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3597,,"3,597.00"
2016,Employment Status By Education,Unemployed,Some College,"Anne Arundel County, Maryland",3290,,"3,290.00"
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2617,,"2,617.00"
2016,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7695,,"7,695.00"
2016,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16350,,"16,350.00"
2016,Employment Status By Education,NIL,Some College,"Anne Arundel County, Maryland",16037,,"16,037.00"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",12929,,"12,929.00"
2015,Employment Status By Education,Employed,Less than Highschool,"Anne Arundel County, Maryland",11352,,"11,352.00"
2015,Employment Status By Education,Employed,Highschool,"Anne Arundel County, Maryland",51834,,"51,834.00"
2015,Employment Status By Education,Employed,Some College,"Anne Arundel County, Maryland",68141,,"68,141.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Anne Arundel County, Maryland",104588,,"104,588.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Anne Arundel County, Maryland",1735,,"1,735.00"
2015,Employment Status By Education,Unemployed,Highschool,"Anne Arundel County, Maryland",3877,,"3,877.00"
2015,Employment Status By Education,Unemployed,Some College,"Anne Arundel County, Maryland",3828,,"3,828.00"
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Anne Arundel County, Maryland",2670,,"2,670.00"
2015,Employment Status By Education,NIL,Less than Highschool,"Anne Arundel County, Maryland",7758,,"7,758.00"
2015,Employment Status By Education,NIL,Highschool,"Anne Arundel County, Maryland",16097,,"16,097.00"
2015,Employment Status By Education,NIL,Some College,"Anne Arundel County, Maryland",15653,,"15,653.00"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Anne Arundel County, Maryland",13176,,"13,176.00"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Anne Arundel County, Maryland",295438,,"295,438.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10924,,"10,924.00"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Anne Arundel County, Maryland",282842,,"282,842.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7683,,"7,683.00"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Anne Arundel County, Maryland",12596,,"12,596.00"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3241,,"3,241.00"
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Anne Arundel County, Maryland",291986,,"291,986.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",11387,,"11,387.00"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Anne Arundel County, Maryland",278848,,"278,848.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7770,,"7,770.00"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Anne Arundel County, Maryland",13138,,"13,138.00"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3617,,"3,617.00"
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Anne Arundel County, Maryland",150205,,"150,205.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10773,,"10,773.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Anne Arundel County, Maryland",142570,,"142,570.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7408,,"7,408.00"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Anne Arundel County, Maryland",7635,,"7,635.00"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3365,,"3,365.00"
2017,Median Household Income,,,"Anne Arundel County, Maryland",94502,,"$94,502 "
2016,Median Household Income,,,"Anne Arundel County, Maryland",91918,,"$91,918 "
2015,Median Household Income,,,"Anne Arundel County, Maryland",89860,,"$89,860 "
2017,Total Population,,,"Anne Arundel County, Maryland",564600,,"564,600.00"
2016,Total Population,,,"Anne Arundel County, Maryland",559737,,"559,737.00"
2015,Total Population,,,"Anne Arundel County, Maryland",555280,,"555,280.00"
2017,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",4.9,0.049,4.90%
2017,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.6,0.046,4.60%
2016,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.3,0.053,5.30%
2016,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5,0.05,5.00%
2015,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.7,0.057,5.70%
2015,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5.2,0.052,5.20%
2017,Unemployment By Race,,White,"Anne Arundel County, Maryland",4.7,0.047,4.70%
2017,Unemployment By Race,,Black,"Anne Arundel County, Maryland",7.6,0.076,7.60%
2017,Unemployment By Race,,Asian,"Anne Arundel County, Maryland",4.5,0.045,4.50%
2017,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.8,0.048,4.80%
2016,Unemployment By Race,,White,"Anne Arundel County, Maryland",,0,0%
2016,Unemployment By Race,,Black,"Anne Arundel County, Maryland",,0,0%
2016,Unemployment By Race,,Asian,"Anne Arundel County, Maryland",,0,0%
2016,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",,0,0%
2015,Unemployment By Race,,White,"Anne Arundel County, Maryland",5.4,0.054,5.40%
2015,Unemployment By Race,,Black,"Anne Arundel County, Maryland",8.6,0.086,8.60%
2015,Unemployment By Race,,Asian,"Anne Arundel County, Maryland",5.3,0.053,5.30%
2015,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.1,0.051,5.10%
2017,Unemployment By Veteran Status,,Veteran,"Anne Arundel County, Maryland",2.9,0.029,2.90%
2017,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5,0.05,5.00%
2016,Unemployment By Veteran Status,,Veteran,"Anne Arundel County, Maryland",3.5,0.035,3.50%
2016,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5.4,0.054,5.40%
2015,Unemployment By Veteran Status,,Veteran,"Anne Arundel County, Maryland",3.7,0.037,3.70%
2015,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5.8,0.058,5.80%
,Change,,Total Population,"Baltimore city, Maryland",-1204,,"-1,204.00"
,Change,,Median Household Income,"Baltimore city, Maryland",2379,,"2,379.00"
2017,Employment Status By Disability Status,Employed,Disabled,"Baltimore city, Maryland",14195,,"14,195.00"
2017,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore city, Maryland",249078,,"249,078.00"
2017,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore city, Maryland",4140,,"4,140.00"
2017,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore city, Maryland",25161,,"25,161.00"
2017,Employment Status By Disability Status,Labor Force,Disabled,"Baltimore city, Maryland",18335,,"18,335.00"
2017,Employment Status By Disability Status,Labor Force,Non Disabled,"Baltimore city, Maryland",274239,,"274,239.00"
2016,Employment Status By Disability Status,Employed,Disabled,"Baltimore city, Maryland",14462,,"14,462.00"
2016,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore city, Maryland",246315,,"246,315.00"
2016,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore city, Maryland",5164,,"5,164.00"
2016,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore city, Maryland",28582,,"28,582.00"
2016,Employment Status By Disability Status,Labor Force,Disabled,"Baltimore city, Maryland",19626,,"19,626.00"
2016,Employment Status By Disability Status,Labor Force,Non Disabled,"Baltimore city, Maryland",274897,,"274,897.00"
2015,Employment Status By Disability Status,Employed,Disabled,"Baltimore city, Maryland",14098,,"14,098.00"
2015,Employment Status By Disability Status,Employed,Non Disabled,"Baltimore city, Maryland",243444,,"243,444.00"
2015,Employment Status By Disability Status,Unemployed,Disabled,"Baltimore city, Maryland",5703,,"5,703.00"
2015,Employment Status By Disability Status,Unemployed,Non Disabled,"Baltimore city, Maryland",32979,,"32,979.00"
2015,Employment Status By Disability Status,Labor Force,Disabled,"Baltimore city, Maryland",19801,,"19,801.00"
2015,Employment Status By Disability Status,Labor Force,Non Disabled,"Baltimore city, Maryland",276423,,"276,423.00"
2017,Employment Status By Education,Employed,Less than Highschool,"Baltimore city, Maryland",17980,,"17,980.00"
2017,Employment Status By Education,Employed,Highschool,"Baltimore city, Maryland",58918,,"58,918.00"
2017,Employment Status By Education,Employed,Some College,"Baltimore city, Maryland",59744,,"59,744.00"
2017,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore city, Maryland",97409,,"97,409.00"
2017,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore city, Maryland",4318,,"4,318.00"
2017,Employment Status By Education,Unemployed,Highschool,"Baltimore city, Maryland",9039,,"9,039.00"
2017,Employment Status By Education,Unemployed,Some College,"Baltimore city, Maryland",5586,,"5,586.00"
2017,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore city, Maryland",2940,,"2,940.00"
2017,Employment Status By Education,NIL,Less than Highschool,"Baltimore city, Maryland",23640,,"23,640.00"
2017,Employment Status By Education,NIL,Highschool,"Baltimore city, Maryland",33104,,"33,104.00"
2017,Employment Status By Education,NIL,Some College,"Baltimore city, Maryland",20740,,"20,740.00"
2017,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore city, Maryland",12112,,"12,112.00"
2016,Employment Status By Education,Employed,Less than Highschool,"Baltimore city, Maryland",18507,,"18,507.00"
2016,Employment Status By Education,Employed,Highschool,"Baltimore city, Maryland",57493,,"57,493.00"
2016,Employment Status By Education,Employed,Some College,"Baltimore city, Maryland",59154,,"59,154.00"
2016,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore city, Maryland",94806,,"94,806.00"
2016,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore city, Maryland",5177,,"5,177.00"
2016,Employment Status By Education,Unemployed,Highschool,"Baltimore city, Maryland",10102,,"10,102.00"
2016,Employment Status By Education,Unemployed,Some College,"Baltimore city, Maryland",6903,,"6,903.00"
2016,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore city, Maryland",3157,,"3,157.00"
2016,Employment Status By Education,NIL,Less than Highschool,"Baltimore city, Maryland",24350,,"24,350.00"
2016,Employment Status By Education,NIL,Highschool,"Baltimore city, Maryland",33529,,"33,529.00"
2016,Employment Status By Education,NIL,Some College,"Baltimore city, Maryland",20443,,"20,443.00"
2016,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore city, Maryland",11579,,"11,579.00"
2015,Employment Status By Education,Employed,Less than Highschool,"Baltimore city, Maryland",18604,,"18,604.00"
2015,Employment Status By Education,Employed,Highschool,"Baltimore city, Maryland",57632,,"57,632.00"
2015,Employment Status By Education,Employed,Some College,"Baltimore city, Maryland",58395,,"58,395.00"
2015,Employment Status By Education,Employed,Bachelor's or Higher,"Baltimore city, Maryland",90904,,"90,904.00"
2015,Employment Status By Education,Unemployed,Less than Highschool,"Baltimore city, Maryland",6223,,"6,223.00"
2015,Employment Status By Education,Unemployed,Highschool,"Baltimore city, Maryland",11257,,"11,257.00"
2015,Employment Status By Education,Unemployed,Some College,"Baltimore city, Maryland",7696,,"7,696.00"
2015,Employment Status By Education,Unemployed,Bachelor's or Higher,"Baltimore city, Maryland",3401,,"3,401.00"
2015,Employment Status By Education,NIL,Less than Highschool,"Baltimore city, Maryland",25385,,"25,385.00"
2015,Employment Status By Education,NIL,Highschool,"Baltimore city, Maryland",33388,,"33,388.00"
2015,Employment Status By Education,NIL,Some College,"Baltimore city, Maryland",20285,,"20,285.00"
2015,Employment Status By Education,NIL,Bachelor's or Higher,"Baltimore city, Maryland",11603,,"11,603.00"
2017,Employment Status By Poverty Status,Labor Force,Above Poverty,"Baltimore city, Maryland",273624,,"273,624.00"
2017,Employment Status By Poverty Status,Labor Force,Below Poverty,"Baltimore city, Maryland",33259,,"33,259.00"
2017,Employment Status By Poverty Status,Employed,Above Poverty,"Baltimore city, Maryland",255429,,"255,429.00"
2017,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore city, Maryland",20819,,"20,819.00"
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Baltimore city, Maryland",18195,,"18,195.00"
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore city, Maryland",12440,,"12,440.00"
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Baltimore city, Maryland",271922,,"271,922.00"
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Baltimore city, Maryland",36552,,"36,552.00"
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Baltimore city, Maryland",251526,,"251,526.00"
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore city, Maryland",21673,,"21,673.00"
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Baltimore city, Maryland",20396,,"20,396.00"
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore city, Maryland",14879,,"14,879.00"
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Baltimore city, Maryland",130684,,"130,684.00"
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Baltimore city, Maryland",39355,,"39,355.00"
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Baltimore city, Maryland",117599,,"117,599.00"
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore city, Maryland",22263,,"22,263.00"
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Baltimore city, Maryland",13085,,"13,085.00"
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore city, Maryland",17092,,"17,092.00"
2017,Median Household Income,,,"Baltimore city, Maryland",46641,,"46,641.00"
2016,Median Household Income,,,"Baltimore city, Maryland",44262,,"44,262.00"
2015,Median Household Income,,,"Baltimore city, Maryland",42241,,"42,241.00"
2017,Total Population,,,"Baltimore city, Maryland",619796,,"619,796.00"
2016,Total Population,,,"Baltimore city, Maryland",621000,,"621,000.00"
2015,Total Population,,,"Baltimore city, Maryland",622454,,"622,454.00"
2017,Unemployment By Gender,,Male,"Baltimore city, Maryland",10.8,0.108,10.8
2017,Unemployment By Gender,,Female,"Baltimore city, Maryland",8.5,0.085,8.5
2016,Unemployment By Gender,,Male,"Baltimore city, Maryland",12.1,0.121,12.1
2016,Unemployment By Gender,,Female,"Baltimore city, Maryland",10.1,0.101,10.1
