Work Experience amongst Maryland Workers,,,2015,2016,2017,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,
,Kindergarten,,,,,,,,,,,,,,,,
,,Not working,"4,481","4,011","6,134",,,,,,,,,,,,
,,part time,0,0,0,,,,,,,,,,,,
,,full time,0,0,0,,,,,,,,,,,,
,Less than Highschool,,,,,,,,,,,,,,,,
,,Not working,"38,251","37,471","36,632",,,,,,,,,,,,
,,part time,221,99,86,,,,,,,,,,,,
,,full time,370,348,989,,,,,,,,,,,,
,Some Highschool,,,,,,,,,,,,,,,,
,,Not working,"18,039","17,516","20,741",,,,,,,,,,,,
,,part time,"2,555","1,752","1,648",,,,,,,,,,,,
,,full time,"4,609","3,931","4,581",,,,,,,,,,,,
,Regular Highschool Diploma,,,,,,,,,,,,,,,,
,,Not working,"23,435","26,879","25,264",,,,,,,,,,,,
,,part time,"5,242","6,109","6,453",,,,,,,,,,,,
,,full time,"39,504","47,651","38,582",,,,,,,,,,,,
,GED,,,,,,,,,,,,,,,,
,,Not working,"3,504","2,180","4,516",,,,,,,,,,,,
,,part time,878,705,516,,,,,,,,,,,,
,,full time,"2,944","2,774","3,125",,,,,,,,,,,,
,Some College,,,,,,,,,,,,,,,,
,,Not working,"4,732","4,658","4,870",,,,,,,,,,,,
,,part time,"1,581","1,396","1,596",,,,,,,,,,,,
,,full time,"9,671","10,968","9,507",,,,,,,,,,,,
,1 or more,,,,,,,,,,,,,,,,
,,Not working,"12,992","11,267","13,317",,,,,,,,,,,,
,,part time,"3,861","4,163","2,790",,,,,,,,,,,,
,,full time,"25,714","27,768","25,334",,,,,,,,,,,,
,Associate,,,,,,,,,,,,,,,,
,,Not working,"3,223","4,026","2,521",,,,,,,,,,,,
,,part time,"1,201","1,693","1,658",,,,,,,,,,,,
,,full time,"15,450","13,137","15,400",,,,,,,,,,,,
,Bachelor's,,,,,,,,,,,,,,,,
,,Not working,"6,581","5,364","6,469",,,,,,,,,,,,
,,part time,"2,859","2,046","2,299",,,,,,,,,,,,
,,full time,"27,092","25,609","29,746",,,,,,,,,,,,
,Master's,,,,,,,,,,,,,,,,
,,Not working,"2,376","2,886","2,717",,,,,,,,,,,,
,,part time,"1,201",886,795,,,,,,,,,,,,
,,full time,"17,698","16,026","19,229",,,,,,,,,,,,
,Professional,,,,,,,,,,,,,,,,
,,Not working,214,437,615,,,,,,,,,,,,
,,part time,114,41,40,,,,,,,,,,,,
,,full time,"1,763","2,136","2,052",,,,,,,,,,,,
,Doctoral,,,,,,,,,,,,,,,,
,,Not working,510,318,507,,,,,,,,,,,,
,,part time,163,97,168,,,,,,,,,,,,
,,full time,"1,095",956,960,,,,,,,,,,,,
Poverty as a percentage of the Federal poverty level,,,,,,,,,,,,,,,,,
,0-25,,,,,,,,,,,,,,,,
,,Not working,"10,025","9,938","9,988",,,,,,,,,,,,
,,part time,696,475,360,,,,,,,,,,,,
,,full time,607,"2,054","2,386",,,,,,,,,,,,
,26-50,,,,,,,,,,,,,,,,
,,Not working,"2,076",913,"2,208",,,,,,,,,,,,
,,part time,966,250,326,,,,,,,,,,,,
,,full time,423,526,117,,,,,,,,,,,,
,51-75,,,,,,,,,,,,,,,,
,,Not working,"4,428","5,122","3,612",,,,,,,,,,,,
,,part time,297,217,590,,,,,,,,,,,,
,,full time,773,"1,390",639,,,,,,,,,,,,
,76-100,,,,,,,,,,,,,,,,
,,Not working,"3,368","4,960","5,279",,,,,,,,,,,,
,,part time,272,"1,277",622,,,,,,,,,,,,
,,full time,"1,194","1,945","1,161",,,,,,,,,,,,
,100-500,,,,,,,,,,,,,,,,
,,Not working,"75,453","75,938","78,562",,,,,,,,,,,,
,,part time,"9,519","9,488","8,999",,,,,,,,,,,,
,,full time,"55,489","60,131","59,256",,,,,,,,,,,,
,501,,,,,,,,,,,,,,,,
,,Not working,"47,124","44,680","48,614",,,,,,,,,,,,
,,part time,"8,144","7,292","7,164",,,,,,,,,,,,
,,full time,"87,737","85,989","86,638",,,,,,,,,,,,
