Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate, Formatted ,,
2017,Employment Status By Poverty Status,Unemployed,Above Poverty,"Anne Arundel County, Maryland",12596,,"12,596",,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3241,,"3,241",,
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Anne Arundel County, Maryland",291986,,"291,986",,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",11387,,"11,387",,
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Anne Arundel County, Maryland",278848,,"278,848",,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7770,,"7,770",,
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Anne Arundel County, Maryland",13138,,"13,138",,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3617,,"3,617",,
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Anne Arundel County, Maryland",290938,,"290,938",,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Anne Arundel County, Maryland",10773,,"10,773",,
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Anne Arundel County, Maryland",276536,,"276,536",,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Anne Arundel County, Maryland",7408,,"7,408",,
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Anne Arundel County, Maryland",14402,,"14,402",,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Anne Arundel County, Maryland",3365,,"3,365",,
2017,Median Household Income,,,"Anne Arundel County, Maryland",94502,,"$94,502 ",,
2016,Median Household Income,,,"Anne Arundel County, Maryland",91918,,"$91,918 ",,
2015,Median Household Income,,,"Anne Arundel County, Maryland",89860,,"$89,860 ",,
2017,Total Population,,,"Anne Arundel County, Maryland",564600,,"564,600",,
2016,Total Population,,,"Anne Arundel County, Maryland",559737,,"559,737",,
2015,Total Population,,,"Anne Arundel County, Maryland",555280,,"555,280",,
2017,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",4.9,0.049,4.90%,,
2017,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",4.6,0.046,4.60%,,
2016,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.3,0.053,5.30%,,
2016,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5,0.05,5.00%,,
2015,Unemployment By Gender,,Male,"Anne Arundel County, Maryland",5.7,0.057,5.70%,,
2015,Unemployment By Gender,,Female,"Anne Arundel County, Maryland",5.2,0.052,5.20%,,
2017,Unemployment By Race,,White,"Anne Arundel County, Maryland",4.7,0.047,4.70%,,
2017,Unemployment By Race,,Black,"Anne Arundel County, Maryland",7.6,0.076,7.60%,,
2017,Unemployment By Race,,Asian,"Anne Arundel County, Maryland",4.5,0.045,4.50%,,
2017,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.8,0.048,4.80%,,
2016,Unemployment By Race,,White,"Anne Arundel County, Maryland",5.1,0.051,5.10%,,
2016,Unemployment By Race,,Black,"Anne Arundel County, Maryland",8.1,0.081,8.10%,,
2016,Unemployment By Race,,Asian,"Anne Arundel County, Maryland",4.6,0.046,4.60%,,
2016,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",4.9,0.049,4.90%,,
2015,Unemployment By Race,,White,"Anne Arundel County, Maryland",5.4,0.054,5.40%,,
2015,Unemployment By Race,,Black,"Anne Arundel County, Maryland",8.6,0.086,8.60%,,
2015,Unemployment By Race,,Asian,"Anne Arundel County, Maryland",5.3,0.053,5.30%,,
2015,Unemployment By Race,,Hispanic,"Anne Arundel County, Maryland",5.1,0.051,5.10%,,
2017,Unemployment By Veteran Status,,Veteran,"Anne Arundel County, Maryland",2.9,0.029,2.90%,,
2017,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5,0.05,5.00%,,
2016,Unemployment By Veteran Status,,Veteran,"Anne Arundel County, Maryland",3.5,0.035,3.50%,,
2016,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5.4,0.054,5.40%,,
2015,Unemployment By Veteran Status,,Veteran,"Anne Arundel County, Maryland",3.7,0.037,3.70%,,
2015,Unemployment By Veteran Status,,Non Veteran,"Anne Arundel County, Maryland",5.8,0.058,5.80%,,
2015Q1,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",282,,282,,282
2015Q2,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",302,,302,,302
2015Q3,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",317,,317,,317
2015Q4,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",361,,361,,361
2016Q1,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",256,,256,,256
2016Q2,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",263,,263,,263
2016Q3,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",283,,283,,283
2016Q4,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",278,,278,,278
2015Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.028233,0.028,2.80%,,0.028
2015Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.039366,0.039,3.90%,,0.039
2015Q3,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.035191,0.035,3.50%,0.035191,3.50%
2015Q4,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.039259,0.039,3.90%,0.039259,3.90%
2016Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.03083,0.031,3.10%,0.03083,3.10%
2016Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.041953,0.042,4.20%,0.041953,4.20%
2016Q3,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.018209,0.018,1.80%,0.018209,1.80%
2016Q4,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.026685,0.027,2.70%,0.026685,2.70%
2017Q1,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",229,,229,,229
2017Q2,Number of TANF Recipient Workers,Employed,,"Anne Arundel County, Maryland",262,,262,,262
2017Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.022565,,2.26%,0.022565,2.30%
2017Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Anne Arundel County, Maryland",0.018027,,1.80%,0.018027,1.80%
2016Q3,Percentage of TANF Recipients among Maryland Workers,Employed,,"Anne Arundel County, Maryland",0.001041,,0.10%,0.001041,0.10%
2016Q4,Percentage of TANF Recipients among Maryland Workers,Employed,,"Anne Arundel County, Maryland",0.001019,,0.10%,0.001019,0.10%
2017Q1,Percentage of TANF Recipients among Maryland Workers,Employed,,"Anne Arundel County, Maryland",0.000856,,0.09%,0.000856,0.09%
2017Q2,Percentage of TANF Recipients among Maryland Workers,Employed,,"Anne Arundel County, Maryland",0.000977,,0.10%,0.000977,0.10%
2016,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",17140,,"17,140",,
2017,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",17070,,"17,070",,
2018,SNAP Recipient Workers,,,"Anne Arundel County, Maryland",17398,,"17,398",,
2016,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.0632,6.32,6.32%,,
2017,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.0629,6.29,6.29%,,
2018,SNAP Recipient Workers by Percentage,,,"Anne Arundel County, Maryland",0.0631,6.31,6.31%,,
2015,Work Experience by Gender,Not Working,Male,"Baltimore County, Maryland","326,727",,"326,727",,
2015,Work Experience by Gender,Part Time,Male,"Baltimore County, Maryland","59,228",,"59,228",,
2015,Work Experience by Gender,Full Time,Male,"Baltimore County, Maryland","394,118",,"394,118",,
2015,Work Experience by Gender,Not Working,Female,"Baltimore County, Maryland","416,683",,"416,683",,
2015,Work Experience by Gender,Part Time,Female,"Baltimore County, Maryland","90,236",,"90,236",,
2015,Work Experience by Gender,Full Time,Female,"Baltimore County, Maryland","366,330",,"366,330",,
2016,Work Experience by Gender,Not Working,Male,"Baltimore County, Maryland","319,545",,"319,545",,
2016,Work Experience by Gender,Part Time,Male,"Baltimore County, Maryland","58,134",,"58,134",,
2016,Work Experience by Gender,Full Time,Male,"Baltimore County, Maryland","403,184",,"403,184",,
2016,Work Experience by Gender,Not Working,Female,"Baltimore County, Maryland","416,557",,"416,557",,
2016,Work Experience by Gender,Part Time,Female,"Baltimore County, Maryland","87,942",,"87,942",,
2016,Work Experience by Gender,Full Time,Female,"Baltimore County, Maryland","369,523",,"369,523",,
2017,Work Experience by Gender,Not Working,Male,"Baltimore County, Maryland","329,653",,"329,653",,
2017,Work Experience by Gender,Part Time,Male,"Baltimore County, Maryland","58,639",,"58,639",,
2017,Work Experience by Gender,Full Time,Male,"Baltimore County, Maryland","400,446",,"400,446",,
2017,Work Experience by Gender,Not Working,Female,"Baltimore County, Maryland","413,629",,"413,629",,
2017,Work Experience by Gender,Part Time,Female,"Baltimore County, Maryland","87,983",,"87,983",,
2017,Work Experience by Gender,Full Time,Female,"Baltimore County, Maryland","371,207",,"371,207",,
2015,Work Experience by Race,Not Working,White,"Baltimore County, Maryland","459,113",,"459,113",,
2015,Work Experience by Race,Not Working,Black,"Baltimore County, Maryland","200,696",,"200,696",,
2015,Work Experience by Race,Not Working,American,"Baltimore County, Maryland","2,816",,"2,816",,
2015,Work Experience by Race,Not Working,Chinese,"Baltimore County, Maryland","7,028",,"7,028",,
2015,Work Experience by Race,Not Working,Japanese,"Baltimore County, Maryland",472,,472,,
2015,Work Experience by Race,Not Working,Other Asian,"Baltimore County, Maryland","37,029",,"37,029",,
2015,Work Experience by Race,Not Working,Other Race,"Baltimore County, Maryland","8,496",,"8,496",,
2015,Work Experience by Race,Not Working,Two Major Races,"Baltimore County, Maryland","25,886",,"25,886",,
2015,Work Experience by Race,Not Working,Three or More,"Baltimore County, Maryland","1,874",,"1,874",,
2015,Work Experience by Race,Part Time,White,"Baltimore County, Maryland","100,248",,"100,248",,
2015,Work Experience by Race,Part Time,Black,"Baltimore County, Maryland","35,723",,"35,723",,
2015,Work Experience by Race,Part Time,American,"Baltimore County, Maryland",586,,586,,
2015,Work Experience by Race,Part Time,Chinese,"Baltimore County, Maryland","1,496",,"1,496",,
2015,Work Experience by Race,Part Time,Japanese,"Baltimore County, Maryland",141,,141,,
2015,Work Experience by Race,Part Time,Other Asian,"Baltimore County, Maryland","5,560",,"5,560",,
2015,Work Experience by Race,Part Time,Other Race,"Baltimore County, Maryland","1,507",,"1,507",,
2015,Work Experience by Race,Part Time,Two Major Races,"Baltimore County, Maryland","3,796",,"3,796",,
2015,Work Experience by Race,Part Time,Three or More,"Baltimore County, Maryland",407,,407,,
2015,Work Experience by Race,Full Time,White,"Baltimore County, Maryland","480,403",,"480,403",,
2015,Work Experience by Race,Full Time,Black,"Baltimore County, Maryland","213,471",,"213,471",,
2015,Work Experience by Race,Full Time,American,"Baltimore County, Maryland","1,181",,"1,181",,
2015,Work Experience by Race,Full Time,Chinese,"Baltimore County, Maryland","7,785",,"7,785",,
2015,Work Experience by Race,Full Time,Japanese,"Baltimore County, Maryland",505,,505,,
2015,Work Experience by Race,Full Time,Other Asian,"Baltimore County, Maryland","37,138",,"37,138",,
2015,Work Experience by Race,Full Time,Other Race,"Baltimore County, Maryland","6,796",,"6,796",,
2015,Work Experience by Race,Full Time,Two Major Races,"Baltimore County, Maryland","12,228",,"12,228",,
2015,Work Experience by Race,Full Time,Three or More,"Baltimore County, Maryland",941,,941,,
2016,Work Experience by Race,Not Working,White,"Baltimore County, Maryland","451,239",,"451,239",,
2016,Work Experience by Race,Not Working,Black,"Baltimore County, Maryland","208,382",,"208,382",,
2016,Work Experience by Race,Not Working,American,"Baltimore County, Maryland","1,840",,"1,840",,
2016,Work Experience by Race,Not Working,Chinese,"Baltimore County, Maryland","7,251",,"7,251",,
2016,Work Experience by Race,Not Working,Japanese,"Baltimore County, Maryland",312,,312,,
2016,Work Experience by Race,Not Working,Other Asian,"Baltimore County, Maryland","33,383",,"33,383",,
2016,Work Experience by Race,Not Working,Other Race,"Baltimore County, Maryland","7,612",,"7,612",,
2016,Work Experience by Race,Not Working,Two Major Races,"Baltimore County, Maryland","22,670",,"22,670",,
2016,Work Experience by Race,Not Working,Three or More,"Baltimore County, Maryland","3,413",,"3,413",,
2016,Work Experience by Race,Part Time,White,"Baltimore County, Maryland","99,871",,"99,871",,
2016,Work Experience by Race,Part Time,Black,"Baltimore County, Maryland","31,238",,"31,238",,
2016,Work Experience by Race,Part Time,American,"Baltimore County, Maryland",446,,446,,
2016,Work Experience by Race,Part Time,Chinese,"Baltimore County, Maryland","1,592",,"1,592",,
2016,Work Experience by Race,Part Time,Japanese,"Baltimore County, Maryland",333,,333,,
2016,Work Experience by Race,Part Time,Other Asian,"Baltimore County, Maryland","7,620",,"7,620",,
2016,Work Experience by Race,Part Time,Other Race,"Baltimore County, Maryland","1,088",,"1,088",,
2016,Work Experience by Race,Part Time,Two Major Races,"Baltimore County, Maryland","3,447",,"3,447",,
2016,Work Experience by Race,Part Time,Three or More,"Baltimore County, Maryland",441,,441,,
2016,Work Experience by Race,Full Time,White,"Baltimore County, Maryland","478,602",,"478,602",,
2016,Work Experience by Race,Full Time,Black,"Baltimore County, Maryland","226,232",,"226,232",,
2016,Work Experience by Race,Full Time,American,"Baltimore County, Maryland","2,548",,"2,548",,
2016,Work Experience by Race,Full Time,Chinese,"Baltimore County, Maryland","9,990",,"9,990",,
2016,Work Experience by Race,Full Time,Japanese,"Baltimore County, Maryland",438,,438,,
2016,Work Experience by Race,Full Time,Other Asian,"Baltimore County, Maryland","37,579",,"37,579",,
2016,Work Experience by Race,Full Time,Other Race,"Baltimore County, Maryland","5,634",,"5,634",,
2016,Work Experience by Race,Full Time,Two Major Races,"Baltimore County, Maryland","10,643",,"10,643",,
2016,Work Experience by Race,Full Time,Three or More,"Baltimore County, Maryland","1,041",,"1,041",,
2017,Work Experience by Race,Not Working,White,"Baltimore County, Maryland","447,890",,"447,890",,
2017,Work Experience by Race,Not Working,Black,"Baltimore County, Maryland","209,451",,"209,451",,
2017,Work Experience by Race,Not Working,American,"Baltimore County, Maryland","2,233",,"2,233",,
2017,Work Experience by Race,Not Working,Chinese,"Baltimore County, Maryland","7,692",,"7,692",,
2017,Work Experience by Race,Not Working,Japanese,"Baltimore County, Maryland",643,,643,,
2017,Work Experience by Race,Not Working,Other Asian,"Baltimore County, Maryland","37,608",,"37,608",,
2017,Work Experience by Race,Not Working,Other Race,"Baltimore County, Maryland","10,420",,"10,420",,
2017,Work Experience by Race,Not Working,Two Major Races,"Baltimore County, Maryland","24,671",,"24,671",,
2017,Work Experience by Race,Not Working,Three or More,"Baltimore County, Maryland","2,674",,"2,674",,
2017,Work Experience by Race,Part Time,White,"Baltimore County, Maryland","95,897",,"95,897",,
2017,Work Experience by Race,Part Time,Black,"Baltimore County, Maryland","35,245",,"35,245",,
2017,Work Experience by Race,Part Time,American,"Baltimore County, Maryland",398,,398,,
2017,Work Experience by Race,Part Time,Chinese,"Baltimore County, Maryland","1,523",,"1,523",,
2017,Work Experience by Race,Part Time,Japanese,"Baltimore County, Maryland",154,,154,,
2017,Work Experience by Race,Part Time,Other Asian,"Baltimore County, Maryland","7,006",,"7,006",,
2017,Work Experience by Race,Part Time,Other Race,"Baltimore County, Maryland","1,752",,"1,752",,
2017,Work Experience by Race,Part Time,Two Major Races,"Baltimore County, Maryland","3,875",,"3,875",,
2017,Work Experience by Race,Part Time,Three or More,"Baltimore County, Maryland",772,,772,,
2017,Work Experience by Race,Full Time,White,"Baltimore County, Maryland","471,241",,"471,241",,
2017,Work Experience by Race,Full Time,Black,"Baltimore County, Maryland","227,138",,"227,138",,
2017,Work Experience by Race,Full Time,American,"Baltimore County, Maryland","1,775",,"1,775",,
2017,Work Experience by Race,Full Time,Chinese,"Baltimore County, Maryland","7,861",,"7,861",,
2017,Work Experience by Race,Full Time,Japanese,"Baltimore County, Maryland",517,,517,,
2017,Work Experience by Race,Full Time,Other Asian,"Baltimore County, Maryland","37,691",,"37,691",,
2017,Work Experience by Race,Full Time,Other Race,"Baltimore County, Maryland","9,379",,"9,379",,
2017,Work Experience by Race,Full Time,Two Major Races,"Baltimore County, Maryland","14,089",,"14,089",,
2017,Work Experience by Race,Full Time,Three or More,"Baltimore County, Maryland","1,962",,"1,962",,
2015,Work Experience by Education,Not Working,N/A,"Baltimore County, Maryland","56,230",,"56,230",,
2015,Work Experience by Education,Not Working,No School,"Baltimore County, Maryland","45,666",,"45,666",,
2015,Work Experience by Education,Not Working,Nursery,"Baltimore County, Maryland","26,092",,"26,092",,
2015,Work Experience by Education,Not Working,Kindergarten,"Baltimore County, Maryland","24,725",,"24,725",,
2015,Work Experience by Education,Not Working,Grade 1,"Baltimore County, Maryland","20,922",,"20,922",,
2015,Work Experience by Education,Not Working,Grade 2,"Baltimore County, Maryland","21,887",,"21,887",,
2015,Work Experience by Education,Not Working,Grade 3,"Baltimore County, Maryland","18,815",,"18,815",,
2015,Work Experience by Education,Not Working,Grade 4,"Baltimore County, Maryland","19,480",,"19,480",,
2015,Work Experience by Education,Not Working,Grade 5,"Baltimore County, Maryland","19,821",,"19,821",,
2015,Work Experience by Education,Not Working,Grade 6,"Baltimore County, Maryland","22,109",,"22,109",,
2015,Work Experience by Education,Not Working,Grade 7,"Baltimore County, Maryland","20,015",,"20,015",,
2015,Work Experience by Education,Not Working,Grade 8,"Baltimore County, Maryland","27,790",,"27,790",,
2015,Work Experience by Education,Not Working,Grade 9,"Baltimore County, Maryland","22,563",,"22,563",,
2015,Work Experience by Education,Not Working,Grade 10,"Baltimore County, Maryland","27,885",,"27,885",,
2015,Work Experience by Education,Not Working,Grade 11,"Baltimore County, Maryland","23,177",,"23,177",,
2015,Work Experience by Education,Not Working,Grade 12,"Baltimore County, Maryland","12,000",,"12,000",,
2015,Work Experience by Education,Not Working,Regular Highschool Diploma,"Baltimore County, Maryland","113,124",,"113,124",,
2015,Work Experience by Education,Not Working,GED,"Baltimore County, Maryland","19,314",,"19,314",,
2015,Work Experience by Education,Not Working,Some College,"Baltimore County, Maryland","29,680",,"29,680",,
2015,Work Experience by Education,Not Working,1 or more,"Baltimore County, Maryland","56,600",,"56,600",,
2015,Work Experience by Education,Not Working,Associate,"Baltimore County, Maryland","23,007",,"23,007",,
2015,Work Experience by Education,Not Working,Bachlor's,"Baltimore County, Maryland","55,911",,"55,911",,
2015,Work Experience by Education,Not Working,Master's,"Baltimore County, Maryland","25,291",,"25,291",,
2015,Work Experience by Education,Not Working,Professional,"Baltimore County, Maryland","7,154",,"7,154",,
2015,Work Experience by Education,Not Working,Doctoral,"Baltimore County, Maryland","4,152",,"4,152",,
2015,Work Experience by Education,Part Time,N/A,"Baltimore County, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,No School,"Baltimore County, Maryland",812,,812,,
2015,Work Experience by Education,Part Time,Nursery,"Baltimore County, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,Kindergarten,"Baltimore County, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,Grade 1,"Baltimore County, Maryland",99,,99,,
2015,Work Experience by Education,Part Time,Grade 2,"Baltimore County, Maryland",32,,32,,
2015,Work Experience by Education,Part Time,Grade 3,"Baltimore County, Maryland",0,, -   ,,
2015,Work Experience by Education,Part Time,Grade 4,"Baltimore County, Maryland",129,,129,,
2015,Work Experience by Education,Part Time,Grade 5,"Baltimore County, Maryland",86,,86,,
2015,Work Experience by Education,Part Time,Grade 6,"Baltimore County, Maryland",582,,582,,
2015,Work Experience by Education,Part Time,Grade 7,"Baltimore County, Maryland",281,,281,,
2015,Work Experience by Education,Part Time,Grade 8,"Baltimore County, Maryland",558,,558,,
2015,Work Experience by Education,Part Time,Grade 9,"Baltimore County, Maryland","1,285",,"1,285",,
2015,Work Experience by Education,Part Time,Grade 10,"Baltimore County, Maryland","5,625",,"5,625",,
2015,Work Experience by Education,Part Time,Grade 11,"Baltimore County, Maryland","8,483",,"8,483",,
2015,Work Experience by Education,Part Time,Grade 12,"Baltimore County, Maryland","3,377",,"3,377",,
2015,Work Experience by Education,Part Time,Regular Highschool Diploma,"Baltimore County, Maryland","32,566",,"32,566",,
2015,Work Experience by Education,Part Time,GED,"Baltimore County, Maryland","4,077",,"4,077",,
2015,Work Experience by Education,Part Time,Some College,"Baltimore County, Maryland","9,793",,"9,793",,
2015,Work Experience by Education,Part Time,1 or more,"Baltimore County, Maryland","31,445",,"31,445",,
2015,Work Experience by Education,Part Time,Associate,"Baltimore County, Maryland","10,071",,"10,071",,
2015,Work Experience by Education,Part Time,Bachlor's,"Baltimore County, Maryland","23,345",,"23,345",,
2015,Work Experience by Education,Part Time,Master's,"Baltimore County, Maryland","11,709",,"11,709",,
2015,Work Experience by Education,Part Time,Professional,"Baltimore County, Maryland","2,964",,"2,964",,
2015,Work Experience by Education,Part Time,Doctoral,"Baltimore County, Maryland","2,145",,"2,145",,
2015,Work Experience by Education,Full Time,N/A,"Baltimore County, Maryland",0,, -   ,,
2015,Work Experience by Education,Full Time,No School,"Baltimore County, Maryland","2,811",,"2,811",,
2015,Work Experience by Education,Full Time,Nursery,"Baltimore County, Maryland",44,,44,,
