Work Experience amongst Maryland Workers,,,2015,2016,2017,,,,,,,,,,,,
Gender,,,,,,,,,,,,,,,,,
,,full time,"4,909","2,636","3,627",,,,,,,,,,,,
Education,,,,,,,,,,,,,,,,,
,N/A,,,,,,,,,,,,,,,,
,,Not working,"77,466","79,915","77,182",,,,,,,,,,,,
,,part time,0,0,0,,,,,,,,,,,,
,,full time,0,0,0,,,,,,,,,,,,
,No School,,,,,,,,,,,,,,,,
,,Not working,"62,337","57,889","61,278",,,,,,,,,,,,
,,part time,"1,449","2,161","2,102",,,,,,,,,,,,
,,full time,"12,110","12,239","14,285",,,,,,,,,,,,
,Nursery,,,,,,,,,,,,,,,,
,,Not working,"36,462","33,872","34,314",,,,,,,,,,,,
,,part time,120,17,17,,,,,,,,,,,,
,,full time,124,437,81,,,,,,,,,,,,
,Kindergarten,,,,,,,,,,,,,,,,
,,Not working,"29,871","29,906","28,899",,,,,,,,,,,,
,,part time,96,18,17,,,,,,,,,,,,
,,full time,483,232,213,,,,,,,,,,,,
,Less than Highschool,,,,,,,,,,,,,,,,
,,Not working,"225,555","230,028","232,438",,,,,,,,,,,,
,,part time,"4,491","3,713","3,559",,,,,,,,,,,,
,,full time,"30,408","30,905","27,807",,,,,,,,,,,,
,Some Highschool,,,,,,,,,,,,,,,,
,,Not working,"92,053","87,815","90,136",,,,,,,,,,,,
,,part time,"18,386","18,813","22,316",,,,,,,,,,,,
,,full time,"35,773","35,464","36,569",,,,,,,,,,,,
,Regular Highschool Diploma,,,,,,,,,,,,,,,,
,,Not working,"70,874","73,742","72,667",,,,,,,,,,,,
,,part time,"27,526","29,314","32,349",,,,,,,,,,,,
,,full time,"117,340","123,366","124,300",,,,,,,,,,,,
,GED,,,,,,,,,,,,,,,,
,,Not working,"7,742","7,648","7,126",,,,,,,,,,,,
,,part time,"2,357","2,265","1,558",,,,,,,,,,,,
,,full time,"10,475","11,943","10,428",,,,,,,,,,,,
,Some College,,,,,,,,,,,,,,,,
,,Not working,"18,232","18,841","19,215",,,,,,,,,,,,
,,part time,"9,116","8,394","8,897",,,,,,,,,,,,
,,full time,"39,614","33,789","36,628",,,,,,,,,,,,
,1 or more,,,,,,,,,,,,,,,,
,,Not working,"49,194","46,097","51,447",,,,,,,,,,,,
,,part time,"32,278","32,305","33,130",,,,,,,,,,,,
,,full time,"107,494","106,051","108,498",,,,,,,,,,,,
,Associate,,,,,,,,,,,,,,,,
,,Not working,"22,743","21,982","21,056",,,,,,,,,,,,
,,part time,"9,941","11,037","10,593",,,,,,,,,,,,
,,full time,"49,646","50,227","54,087",,,,,,,,,,,,
,Bachelor's,,,,,,,,,,,,,,,,
,,Not working,"84,691","90,268","90,444",,,,,,,,,,,,
,,part time,"43,399","43,670","41,545",,,,,,,,,,,,
,,full time,"289,440","282,343","288,139",,,,,,,,,,,,
,Master's,,,,,,,,,,,,,,,,
,,Not working,"53,180","53,133","53,408",,,,,,,,,,,,
,,part time,"23,421","26,491","26,660",,,,,,,,,,,,
,,full time,"190,076","199,308","199,813",,,,,,,,,,,,
,Professional,,,,,,,,,,,,,,,,
,,Not working,"12,514","15,846","16,036",,,,,,,,,,,,
,,part time,"7,230","9,034","8,750",,,,,,,,,,,,
,,full time,"65,149","68,107","64,085",,,,,,,,,,,,
,Doctoral,,,,,,,,,,,,,,,,
,,Not working,"12,683","17,192","14,263",,,,,,,,,,,,
,,part time,"6,392","6,362","6,415",,,,,,,,,,,,
,,full time,"67,919","59,885","66,014",,,,,,,,,,,,
Poverty as a percentage of the Federal poverty level,,,,,,,,,,,,,,,,,
,0-25,,,,,,,,,,,,,,,,
,,Not working,"43,777","46,693","48,174",,,,,,,,,,,,
,,part time,"4,184","5,275","6,363",,,,,,,,,,,,
,,full time,"5,469","6,354","6,147",,,,,,,,,,,,
,26-50,,,,,,,,,,,,,,,,
,,Not working,"15,294","10,968","21,142",,,,,,,,,,,,
,,part time,"4,815","3,612","5,652",,,,,,,,,,,,
,,full time,"5,897","4,370","5,769",,,,,,,,,,,,
,51-75,,,,,,,,,,,,,,,,
,,Not working,"21,498","19,557","17,423",,,,,,,,,,,,
,,part time,"5,815","4,192","4,315",,,,,,,,,,,,
,,full time,"7,142","7,886","5,769",,,,,,,,,,,,
,76-100,,,,,,,,,,,,,,,,
,,Not working,"32,601","26,636","27,284",,,,,,,,,,,,
,,part time,"5,654","6,894","6,138",,,,,,,,,,,,
,,full time,"14,994","11,276","12,825",,,,,,,,,,,,
,100-500,,,,,,,,,,,,,,,,
,,Not working,"373,550","387,124","379,436",,,,,,,,,,,,
,,part time,"78,414","82,661","86,762",,,,,,,,,,,,
,,full time,"391,237","389,779","396,923",,,,,,,,,,,,
,501,,,,,,,,,,,,,,,,
,,Not working,"368,877","373,196","376,450",,,,,,,,,,,,
,,part time,"87,320","90,960","88,678",,,,,,,,,,,,
,,full time,"591,312","594,631","603,514",,,,,,,,,,,,
